Tipo;Marca;Modelo;Descrição;Novo;Nº Série;Nº Patrimônio Poli-UPE;Alocação;Status
Tablet;LG;Elitebook 840;Lab-Informática;Verdadeiro;509973269693792;440639215039531.6;Admin;Funcionando
Computador;LG;Elitebook 840;Depto-Admin;Verdadeiro;114223551661924;440754549235125.6;LabEngenharia;Desativado
Tablet;DATEN;U27VQ;Poli-UPE;Falso;134777487159208;440397296978758.94;LIP01;Desativado
Monitor;DELL;U27VQ;Reitoria;Verdadeiro;778699723531557;440287619120717.7;Admin;Em configuração
Tablet;DATEN;Predator X34;Poli-UPE;Verdadeiro;186156883913132;440444998775689.5;Auditório;Desativado
Servidor;LG;DC3E-S;Depto-Admin;Verdadeiro;987615592380540;440397140348020.5;LIP02;Em configuração
Tablet;Samsung;Inspiron 15;Lab-Informática;Falso;567805499811033;440899283342524.2;Auditório;Desativado
Servidor;Samsung;ThinkPad X1;Reitoria;Falso;272767875353230;440465940428196.75;Auditório;Em configuração
Notebook;DELL;Predator X34;Poli-UPE;Falso;445271787623096;440966970593560.8;Auditório;Desativado
Servidor;LG;Galaxy Tab;Poli-UPE;Verdadeiro;455142773178864;440321008800484.06;LIP01;Funcionando
Monitor;Samsung;Inspiron 15;Depto-Admin;Falso;340731188891696;440032999001106.4;LabEngenharia;Manutenção
Monitor;LG;ThinkPad X1;Biblioteca;Verdadeiro;712642277599967;440305960920644.94;Auditório;Manutenção
Notebook;Samsung;24BL550;Poli-UPE;Falso;545881076008941;440690979292577.8;Admin;Em configuração
Servidor;AOC;U27VQ;Reitoria;Verdadeiro;268724604608548;440931475153219.4;Admin;Manutenção
Tablet;Samsung;Inspiron 15;Depto-Admin;Falso;876031547100167;440116478864319.4;LabEngenharia;Em configuração
Monitor;LG;DC3E-S;Lab-Informática;Verdadeiro;780026147761055;440867975675464.6;Auditório;Desativado
Monitor;AOC;ThinkPad X1;Lab-Informática;Falso;365193095148753;440586296460845.75;LIP02;Manutenção
Monitor;HP;U27VQ;Lab-Informática;Verdadeiro;643626478651386;440514799760600.9;Admin;Manutenção
Monitor;LG;U27VQ;Poli-UPE;Falso;421838012116112;440020589299583.2;LabEngenharia;Manutenção
Notebook;Acer;Galaxy Tab;Poli-UPE;Falso;119549693690301;440446038637969.2;LabEngenharia;Manutenção
Monitor;LG;Galaxy Tab;Depto-Admin;Falso;370927200422970;440082951358643.7;Auditório;Funcionando
Notebook;DATEN;24BL550;Lab-Informática;Verdadeiro;584120073550842;440372636663394.2;Admin;Manutenção
Servidor;Samsung;Predator X34;Depto-Admin;Falso;162629477834332;440617106580691.7;Admin;Desativado
Notebook;HP;DC3E-S;Reitoria;Falso;665790184386031;440691550067656.4;LIP01;Desativado
Servidor;LG;U27VQ;Lab-Informática;Falso;612211004195146;440051576684134.8;Auditório;Desativado
Monitor;HP;Predator X34;Reitoria;Falso;723999428889945;440921472659147.25;Auditório;Em configuração
Tablet;AOC;U27VQ;Poli-UPE;Falso;908689786425802;440746572819630.75;Admin;Manutenção
Servidor;Acer;ThinkPad X1;Poli-UPE;Falso;941000473640604;440289095768219.4;LIP02;Desativado
Monitor;Acer;DC3E-S;Biblioteca;Falso;153508631397731;440884834811619.4;LabEngenharia;Funcionando
Servidor;Acer;DC3E-S;Biblioteca;Verdadeiro;837900499799269;440580501150698.56;LIP02;Manutenção
Tablet;AOC;24BL550;Sala-Treinamento;Verdadeiro;530988731720290;440807073209901.2;Auditório;Funcionando
Monitor;Acer;Galaxy Tab;Lab-Informática;Verdadeiro;937306049132664;440171579045874.56;Admin;Em configuração
Servidor;Lenovo;ThinkPad X1;Sala-Treinamento;Verdadeiro;961373406526816;440111598951605.1;Admin;Funcionando
Servidor;DATEN;Elitebook 840;Biblioteca;Falso;954583444789983;440926806127750.8;LIP01;Manutenção
Tablet;AOC;24BL550;Lab-Informática;Falso;319475017993632;440092454828975.75;LIP01;Manutenção
Computador;LG;24BL550;Biblioteca;Verdadeiro;524948274924807;440796930946864.8;Auditório;Manutenção
Tablet;Acer;U27VQ;Poli-UPE;Verdadeiro;773346043656091;440456188666629.7;LabEngenharia;Manutenção
Monitor;LG;Elitebook 840;Depto-Admin;Falso;810362711400701;440827502900719.94;LIP02;Em configuração
Notebook;Lenovo;Galaxy Tab;Sala-Treinamento;Verdadeiro;715719150591147;440052196304826.3;LabEngenharia;Funcionando
Notebook;AOC;Inspiron 15;Poli-UPE;Falso;271803475639955;440100844122990.6;Auditório;Funcionando
Computador;DATEN;Predator X34;Sala-Treinamento;Falso;524757938343745;440797372668437.6;Auditório;Em configuração
Servidor;DELL;24BL550;Poli-UPE;Verdadeiro;900522878397103;440088602734745.7;Auditório;Em configuração
Notebook;AOC;24BL550;Lab-Informática;Falso;293729472227109;440690473253299.25;Admin;Manutenção
Notebook;Acer;DC3E-S;Reitoria;Falso;227318352344471;440315825050197.5;Admin;Em configuração
Notebook;DATEN;Inspiron 15;Reitoria;Falso;552536283944686;440176648756263.8;LIP02;Funcionando
Computador;HP;Elitebook 840;Reitoria;Falso;550916665161234;440726867142675.1;LIP02;Desativado
Tablet;DELL;Galaxy Tab;Sala-Treinamento;Falso;495846708449646;440400006499360.8;LIP01;Manutenção
Monitor;Lenovo;U27VQ;Poli-UPE;Falso;781665669127730;440370112098929.75;LIP01;Desativado
Servidor;AOC;Predator X34;Biblioteca;Verdadeiro;471936950875368;440287124454911.2;LIP02;Manutenção
Tablet;LG;Inspiron 15;Sala-Treinamento;Verdadeiro;369635210880564;440906140545302.75;Auditório;Desativado
Notebook;Lenovo;Predator X34;Poli-UPE;Verdadeiro;378918210216174;440804524988280.9;LabEngenharia;Manutenção
Notebook;Lenovo;ThinkPad X1;Sala-Treinamento;Verdadeiro;130082868292234;440916634644175.25;Auditório;Funcionando
Tablet;DELL;DC3E-S;Reitoria;Verdadeiro;284113061716215;440870434523493.94;Admin;Manutenção
Servidor;HP;ThinkPad X1;Reitoria;Verdadeiro;647542261947428;440102960880249.25;Auditório;Funcionando
Notebook;Acer;U27VQ;Biblioteca;Falso;688840683698220;440956302230299.7;LIP02;Funcionando
Computador;AOC;24BL550;Lab-Informática;Verdadeiro;456703894377291;440669471564772.5;Auditório;Desativado
Notebook;DELL;24BL550;Poli-UPE;Falso;218894035477628;440448351763084.8;LIP02;Manutenção
Tablet;DATEN;U27VQ;Sala-Treinamento;Falso;105823809218865;440423597432443.1;Admin;Funcionando
Servidor;LG;ThinkPad X1;Depto-Admin;Verdadeiro;972564616834439;440603913062800.9;LIP01;Desativado
Computador;AOC;24BL550;Depto-Admin;Verdadeiro;580541028962462;440857892110635.94;Auditório;Em configuração
Servidor;DELL;U27VQ;Depto-Admin;Falso;115248013703854;440705000235621.4;LabEngenharia;Funcionando
Monitor;Acer;Predator X34;Biblioteca;Verdadeiro;938004141178399;440401359300618.9;Auditório;Em configuração
